stop_id,stop_name,stop_lat,stop_lon,zone_id
1,BOM JESUS,41.554462,-8.381193,1
2,REPÚBLICA II ,41.553543,-8.383646,1
3,REPÚBLICA I,41.555836,-8.385874,1
4,LUSÍADAS III ,41.557831,-8.391278,1
5,LUSÍADAS II,41.556873,-8.394008,1
6,LUSÍADAS I ,41.556095,-8.395412,1
7,JOÃO PAULO II (INL),41.555161,-8.401123,1
8,JOÃO PAULO II (PARQUE RODOVIA),41.554134,-8.403511,1
9,JOÃO PAULO II (PISCINAS),41.551556,-8.409611,1
10,JOÃO XXI (C AMARANTE),41.550392,-8.412413,1
11,JOÃO XXI (31 DE JANEIRO),41.549461,-8.414636,1
12,CENTRAL IV ,41.551861,-8.421896,1
13,A HERCULANO (PENEDOS),41.554062,-8.423612,1
15,S MARTINHO (VIADUTO),41.553761,-8.430258,1
16,IRMÃOS ROBY,41.551399,-8.433107,1
17,NOVA ESTAÇÃO I ,41.549252,-8.434851,1
18,COSTA GOMES I ,41.553741,-8.436741,1
19,COSTA GOMES II,41.553902,-8.440414,1
20,COSTA GOMES III (S FRUTUOSO),41.556564,-8.441819,1
21,COSTA GOMES IV,41.558407,-8.444840,1
22,COSTA GOMES V,41.559628,-8.446474,1
23,CIMA II,41.564182,-8.449716,1
24,BAIXO I,41.566326,-8.450525,1
25,BAIXO II (LIMITE 1/2),41.568378,-8.451051,1
26,RAMOA,41.570930,-8.452004,2
27,PATEIRA I,41.573166,-8.452606,2
28,PATEIRA II,41.575954,-8.452955,2
29,PATEIRA III,41.579136,-8.453194,2
30,CARMO I (CAPELA),41.582039,-8.453871,2
31,CARMO II ,41.585255,-8.455255,2
32,CARMO III (VIEIRA),41.587337,-8.456655,2
33,PRESA I,41.590057,-8.458449,2
34,PRESA II,41.592705,-8.460301,2
35,CARMO II ,41.585999,-8.455819,2
36,BAIXO I,41.565945,-8.450496,1
37,CIMA II,41.564358,-8.449926,1
38,COSTA GOMES V,41.559540,-8.446523,1
39,COSTA GOMES III (S FRUTUOSO),41.556904,-8.442421,1
40,COSTA GOMES I,41.553841,-8.437619,1
41,ROTUNDA ESTAÇÃO I,41.549126,-8.434159,1
42,CAIRES ,41.545601,-8.433762,1
43,CAIRES,41.546326,-8.433485,1
47,CONDE AGROLONGO III ,41.552834,-8.426627,1
48,LIBERDADE (IGREJA S LÁZARO II),41.546749,-8.420400,1
49,JOÃO XXI (31 DE JANEIRO I) ,41.548450,-8.416286,1
50,FEITAL II,41.559540,-8.447282,1
51,JOÃO PAULO II (PISCINAS),41.551132,-8.410154,1
53,JOÃO PAULO II (PARQUE RODOVIA),41.553753,-8.403827,1
54,JOÃO PAULO II (INL),41.555187,-8.400393,1
55,LUSÍADAS I ,41.555984,-8.395839,1
56,D JOÃO II,41.553871,-8.395221,1
57,D JOÃO II II,41.553841,-8.394971,1
58,REPÚBLICA II,41.553333,-8.384117,1
59,REPÚBLICA I,41.555538,-8.386674,1
60,LUSÍADAS III ,41.557472,-8.390830,1
61,LUSÍADAS IV (TENÕES),41.556965,-8.388947,1
62,LUSÍADAS IV (TENÕES),41.556118,-8.388640,1
64,BAIXO II (LIMITE 2/1),41.568367,-8.451130,2
66,NORTON MATOS I,41.555218,-8.424519,1
68,QUINTA SANTA MARIA (FÁBRICA),41.539272,-8.435828,1
69,CONS JANUÁRIO (IGREJA),41.556145,-8.421504,1
70,CONS JANUÁRIO (SÁ DE MIRANDA),41.557056,-8.418748,1
71,CONS JANUÁRIO (SÁ DE MIRANDA),41.556946,-8.419201,1
72,GABRIEL P CASTRO I,41.555965,-8.422210,1
73,INFIAS,41.557991,-8.417325,1
74,CABANAS,41.559441,-8.418493,1
75,CONFEITEIRA I (ESCOLA PROFISSIONAL),41.564247,-8.419776,1
76,CONFEITEIRA II (CABANAS),41.566029,-8.420376,1
77,CONFEITEIRA III,41.570923,-8.423078,1
78,MANUEL J MACHADO I ,41.572800,-8.424762,1
79,MANUEL J MACHADO II,41.572594,-8.428145,1
80,JOGO DA BOLA,41.571857,-8.429689,1
81,ALFREDO J SOUSA I,41.570114,-8.430794,1
82,S ROSENDO (DUME),41.568031,-8.434335,1
83,S FRUTUOSO (CARCAVELOS),41.567451,-8.437674,1
84,RECTA FEITAL I,41.564903,-8.440429,1
85,RECTA FEITAL II,41.563332,-8.442361,1
86,FEITAL I,41.559963,-8.446592,1
87,MOUQUIM,41.558800,-8.368581,1
89,COSTA GOMES IV ,41.558365,-8.444890,1
90,DUME (ENTRE-PORTAS II),41.579788,-8.439883,1
